Comment,Designator,Footprint,LCSC Part #
,LED1 LED2 LED3 LED4 LED5 LED6 LED9 LED10 LED11,CHIP-LED0805,C84256
+3V3,U4,TO-252,C283274
+5V,U2 U3 U7,TO-252,C58069
0.1uF,C1 C2 C3 C4 C6 C8 C10 C12 C14 C16,C0805,C49678
1k,R1 R2 R3 R4 R5 R6 R7 R8 R11 R13 R14 R15 R27 R30 R33 R36,R0805,C17513
1uF,C5 C7 C9 C11 C13 C15,C0805,C28323
3.3k,R9 R10 R12 R23 R24,R0805,C26010
4.7k,R26 R29 R32 R35,R0805,C17673
35A/25V/8.5mΩ,Q1 Q2 Q3 Q4,TO-252/DPAK,C10668
100k,R25 R28 R31 R34,R0805,C149504
150,R19 R20 R37,R0805,C17471
330,R38 R39,R0805,C17630
LM358D,IC1 IC2,SO08,C7950
MCP4728-E/UN,U1,SOP50P490X110-10N,C478093
P82B715DR,U6,SO-08,C2649394
PCF8574ADWR,U5,SOIC127P1030X265-16N,C2867583
